HDFname,Product,Date,Site,ProcessDate,Band,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
MOD15A2.A2000153.fn_usmetypp.005.2006282005004.FparLai_QC,MOD15A2,A2000153,fn_usmetypp,2006282005004,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00010000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2000153.fn_usmetypp.005.2006282005004.FparStdDev_1km,MOD15A2,A2000153,fn_usmetypp,2006282005004,FparStdDev_1km,7,9,8,8,10,10,6,5,7,7,10,7,3,3,8,7,9,7,3,3,5,7,7,7,3,3,8,10,7,6,6,4,8,8,8,5,5,6,5,8,5,5,9,5,4,6,6,5,5
MOD15A2.A2000153.fn_usmetypp.005.2006282005004.Fpar_1km,MOD15A2,A2000153,fn_usmetypp,2006282005004,Fpar_1km,69,65,64,67,72,72,65,62,63,69,72,63,58,63,63,70,77,70,64,65,72,64,69,64,57,58,59,63,65,57,55,55,58,58,58,56,40,55,46,59,57,56,48,54,55,56,56,38,54
MOD15A2.A2000153.fn_usmetypp.005.2006282005004.LaiStdDev_1km,MOD15A2,A2000153,fn_usmetypp,2006282005004,LaiStdDev_1km,5,5,5,5,12,11,3,2,4,4,12,4,1,2,4,5,12,5,2,2,3,4,5,4,1,1,4,6,4,2,2,2,4,3,4,2,2,2,2,4,2,2,4,2,2,2,3,2,2
MOD15A2.A2000153.fn_usmetypp.005.2006282005004.Lai_1km,MOD15A2,A2000153,fn_usmetypp,2006282005004,Lai_1km,21,19,18,19,25,25,18,17,17,21,25,17,15,17,18,22,29,22,18,18,23,18,21,18,14,15,16,18,18,14,14,14,15,15,15,14,9,14,11,16,14,14,13,13,14,14,14,11,13
MOD15A2.A2000161.fn_usmetypp.005.2006284203037.FparExtra_QC,MOD15A2,A2000161,fn_usmetypp,2006284203037,FparExtra_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,01000000,00000000,00000000,00000000,00000000,00000000,00000000,01000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,00000000,10000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,00000000
MOD15A2.A2000161.fn_usmetypp.005.2006284203037.FparLai_QC,MOD15A2,A2000161,fn_usmetypp,2006284203037,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2000161.fn_usmetypp.005.2006284203037.FparStdDev_1km,MOD15A2,A2000161,fn_usmetypp,2006284203037,FparStdDev_1km,8,12,12,12,10,12,13,12,12,12,10,14,5,6,13,12,11,12,12,6,11,14,12,14,6,9,5,12,13,7,8,6,8,6,6,9,4,10,4,5,7,10,7,8,8,10,8,5,8
MOD15A2.A2000161.fn_usmetypp.005.2006284203037.Fpar_1km,MOD15A2,A2000161,fn_usmetypp,2006284203037,Fpar_1km,66,65,65,67,72,67,68,67,67,68,72,61,55,60,62,68,72,68,66,63,74,63,68,64,55,58,60,67,66,55,49,54,57,55,55,51,34,51,39,54,55,52,49,49,50,51,53,36,49
MOD15A2.A2000161.fn_usmetypp.005.2006284203037.LaiStdDev_1km,MOD15A2,A2000161,fn_usmetypp,2006284203037,LaiStdDev_1km,4,11,11,12,12,11,13,12,12,12,12,12,2,3,11,12,12,12,13,3,13,12,12,13,3,4,3,14,12,3,3,2,3,2,3,4,1,4,1,2,3,4,2,3,3,4,3,2,3
MOD15A2.A2000161.fn_usmetypp.005.2006284203037.Lai_1km,MOD15A2,A2000161,fn_usmetypp,2006284203037,Lai_1km,19,21,21,22,25,22,23,22,22,23,25,19,14,16,19,23,26,23,21,17,28,20,23,21,14,15,16,22,22,14,12,13,14,14,14,13,8,12,9,13,14,13,11,12,12,13,13,11,11
